Timestamp,open,high,low,close,vol
2017-01-03,2848.0,2943.0,2806.0,2821.0,171890.0
2017-01-04,2826.0,2908.0,2795.0,2881.0,246528.0
2017-01-05,2881.0,2946.0,2868.0,2895.0,183548.0
2017-01-06,2891.0,2935.0,2845.0,2857.0,190426.0
2017-01-07,2857.0,2872.0,2845.0,2860.0,42140.0
2017-01-09,2850.0,2984.0,2845.0,2984.0,184080.0
2017-01-10,2983.0,3108.0,2967.0,3108.0,248200.0
2017-01-11,3113.0,3131.0,3071.0,3109.0,257130.0
2017-01-12,3103.0,3186.0,3089.0,3126.0,249928.0
2017-01-13,3139.0,3164.0,3090.0,3112.0,221844.0
2017-01-14,3103.0,3155.0,3097.0,3151.0,58020.0
2017-01-16,3215.0,3330.0,3200.0,3284.0,260120.0
2017-01-17,3277.0,3309.0,3180.0,3223.0,283388.0
2017-01-18,3222.0,3278.0,3186.0,3216.0,273056.0
2017-01-19,3210.0,3243.0,3174.0,3205.0,305732.0
2017-01-20,3204.0,3235.0,3150.0,3150.0,259978.0
2017-01-25,3235.0,3250.0,3190.0,3230.0,195738.0
2017-02-07,3060.0,3119.0,3042.0,3109.0,570648.0
2017-02-08,3112.0,3177.0,3084.0,3175.0,635414.0
2017-02-09,3177.0,3201.0,3143.0,3148.0,431190.0
2017-02-10,3146.0,3308.0,3131.0,3263.0,785202.0
2017-02-11,3277.0,3303.0,3268.0,3296.0,237498.0
2017-02-13,3328.0,3372.0,3308.0,3363.0,625862.0
2017-02-14,3366.0,3380.0,3309.0,3363.0,628500.0
2017-02-15,3365.0,3375.0,3291.0,3317.0,783960.0
2017-02-16,3300.0,3411.0,3286.0,3312.0,1261342.0
2017-02-17,3308.0,3375.0,3308.0,3360.0,733410.0
2017-02-18,3372.0,3403.0,3352.0,3374.0,272592.0
2017-02-20,3373.0,3415.0,3342.0,3404.0,601902.0
2017-02-21,3419.0,3480.0,3415.0,3434.0,547394.0
2017-02-22,3436.0,3448.0,3382.0,3399.0,587402.0
2017-02-23,3389.0,3440.0,3341.0,3367.0,824382.0
2017-02-24,3380.0,3390.0,3284.0,3382.0,811800.0
2017-02-25,3380.0,3406.0,3365.0,3406.0,274382.0
2017-02-27,3422.0,3491.0,3421.0,3463.0,810770.0
2017-02-28,3460.0,3465.0,3325.0,3327.0,882050.0
2017-03-01,3336.0,3419.0,3325.0,3388.0,951784.0
2017-03-02,3388.0,3424.0,3369.0,3397.0,755812.0
2017-03-03,3408.0,3408.0,3305.0,3373.0,1141814.0
2017-03-04,3378.0,3384.0,3335.0,3359.0,321708.0
2017-03-06,3347.0,3365.0,3277.0,3284.0,980568.0
2017-03-07,3280.0,3336.0,3267.0,3321.0,972744.0
2017-03-08,3320.0,3325.0,3233.0,3236.0,1189324.0
2017-03-09,3236.0,3252.0,3155.0,3206.0,1270084.0
2017-03-10,3204.0,3240.0,3194.0,3203.0,1114500.0
2017-03-11,3207.0,3222.0,3160.0,3174.0,537220.0
2017-03-13,3180.0,3342.0,3180.0,3342.0,1388826.0
2017-03-14,3340.0,3348.0,3270.0,3300.0,1240166.0
2017-03-15,3294.0,3460.0,3281.0,3415.0,2805496.0
2017-03-16,3412.0,3448.0,3366.0,3439.0,1943052.0
2017-03-17,3435.0,3438.0,3341.0,3369.0,2007724.0
2017-03-18,3370.0,3383.0,3346.0,3377.0,512288.0
2017-03-20,3388.0,3427.0,3319.0,3334.0,2181338.0
2017-03-21,3341.0,3348.0,3224.0,3229.0,2970956.0
2017-03-22,3218.0,3243.0,3108.0,3117.0,3525616.0
2017-03-23,3119.0,3181.0,3119.0,3127.0,2961120.0
2017-03-24,3130.0,3199.0,3098.0,3140.0,4315812.0
2017-03-25,3138.0,3144.0,3110.0,3116.0,1063536.0
2017-03-27,3040.0,3069.0,3003.0,3057.0,3146832.0
2017-03-28,3058.0,3108.0,3035.0,3050.0,3860972.0
2017-03-29,3062.0,3177.0,3061.0,3169.0,4705728.0
2017-03-30,3169.0,3188.0,3121.0,3142.0,3670026.0
2017-03-31,3140.0,3223.0,3113.0,3152.0,5570154.0
2017-04-05,3202.0,3285.0,3175.0,3222.0,4354208.0
2017-04-06,3237.0,3247.0,3158.0,3162.0,4956264.0
2017-04-07,3136.0,3144.0,2986.0,3038.0,6128296.0
2017-04-08,3030.0,3057.0,3030.0,3049.0,1192216.0
2017-04-10,3052.0,3053.0,2987.0,3000.0,3029496.0
2017-04-11,2990.0,3028.0,2962.0,2982.0,4500688.0
2017-04-12,2975.0,2992.0,2888.0,2893.0,4743762.0
2017-04-13,2888.0,2961.0,2879.0,2917.0,4355624.0
2017-04-14,2925.0,2999.0,2907.0,2942.0,5676496.0
2017-04-15,2942.0,2991.0,2942.0,2973.0,1833540.0
2017-04-17,2914.0,2940.0,2885.0,2912.0,3413814.0
2017-04-18,2917.0,2929.0,2815.0,2824.0,4828746.0
2017-04-19,2819.0,2862.0,2813.0,2852.0,3665450.0
2017-04-20,2853.0,2920.0,2775.0,2889.0,6177936.0
2017-04-21,2898.0,2967.0,2868.0,2928.0,6859930.0
2017-04-22,2923.0,2942.0,2908.0,2928.0,1470234.0
2017-04-24,2902.0,2932.0,2851.0,2927.0,3997676.0
2017-04-25,2925.0,2958.0,2896.0,2948.0,5236738.0
2017-04-26,2955.0,3031.0,2936.0,2967.0,5939958.0
2017-04-27,2970.0,3018.0,2958.0,3016.0,4814822.0
2017-04-28,3035.0,3115.0,3026.0,3115.0,6604372.0
